#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,2707.6,3478.3,173.5,1391.3,1410.7,1566.9,3491.0,3654.5,3756.6,3852.8,3948.1,4043.4,25218.0,35139.7,39463.9,4979.8,5000
read,2041.1,2632.7,173.5,289.5,337.8,1575.4,1696.4,1853.2,3518.0,3642.1,3766.1,3954.5,13551.7,31297.5,52302.2,9993.8,10000
read,1504.4,1893.7,173.5,287.8,332.9,1506.6,1618.1,1713.6,1792.5,1924.1,3238.9,3646.9,4058.6,29434.9,35314.2,14929.4,15000
read,1232.6,1293.2,173.5,293.7,342.5,847.2,1568.9,1654.2,1731.5,1826.4,2016.9,3049.7,3947.6,19712.8,31925.2,19934.4,20000
read,1135.5,1209.6,173.5,289.0,337.9,728.9,1525.3,1616.5,1726.0,1828.2,1971.9,2620.1,3940.0,16430.0,32481.6,24954.4,25000
read,2904.2,4202.6,202.4,892.1,959.9,1188.0,2130.5,4812.9,4940.9,5068.9,5650.1,6408.3,29661.1,37741.6,51129.6,27045.6,30000
read,2841.7,4157.7,187.4,893.8,954.7,1158.7,2042.7,4803.5,4927.0,5050.6,5623.2,6296.5,30002.9,37546.8,48768.9,27847.2,35000
read,2916.0,4261.0,218.6,904.1,964.6,1179.1,2072.3,4805.6,4937.4,5069.2,5710.3,8888.2,29794.4,37759.0,47963.0,27362.0,40000
read,2850.5,4207.3,321.2,886.7,947.4,1162.3,2005.5,4788.2,4922.5,5056.8,5660.6,8406.8,30260.7,37716.8,46346.3,27854.6,45000
read,3018.9,4358.0,202.4,936.7,999.1,1246.8,2198.0,4840.0,4972.4,5104.8,5745.4,8884.1,30388.7,37912.0,50071.2,26478.0,50000
read,2927.7,4162.7,218.6,908.1,971.3,1207.8,2158.3,4826.4,4952.7,5079.0,5669.7,6420.8,29758.9,37568.4,48259.3,27046.0,55000
