#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,2791.9,3662.1,160.7,1400.7,1442.8,1595.0,3140.1,3659.5,3771.5,3866.6,3961.7,4056.8,25028.1,35920.7,66938.7,5042.8,5000
read,2090.8,2761.7,160.7,291.4,341.0,1604.3,1724.7,1869.2,3510.0,3636.7,3763.3,3957.8,15575.6,31726.1,37508.2,9960.8,10000
read,1482.7,1808.0,160.7,290.3,335.5,1524.3,1644.5,1732.4,1811.9,1931.7,3152.6,3620.7,4053.9,28722.2,36173.9,15017.2,15000
read,1241.1,1265.9,173.5,291.7,338.3,837.3,1601.6,1694.4,1762.2,1854.2,2064.6,3063.7,3851.5,18774.7,30114.7,20006.2,20000
read,1135.1,1127.9,160.7,287.0,335.6,724.8,1553.5,1654.9,1748.0,1848.1,1989.1,2593.1,3821.6,14977.4,31743.4,25019.8,25000
read,2866.6,4197.4,187.4,859.8,953.1,1214.0,2083.4,4796.5,4933.1,5069.7,5623.0,6452.1,30294.0,37581.4,49844.2,26946.0,30000
read,2975.0,4324.1,187.4,915.9,980.2,1226.6,2159.4,4829.0,4959.6,5090.2,5715.8,8682.5,29860.8,39810.3,55351.8,26826.2,35000
read,3016.0,4317.3,236.1,932.9,996.2,1250.2,2230.8,4850.3,4976.7,5103.0,5712.4,6931.9,30074.2,39297.3,55560.0,26438.0,40000
read,2969.5,4284.6,218.6,909.5,971.2,1217.6,2170.0,4843.2,4965.1,5087.1,5675.4,6371.0,30590.7,38349.6,49852.6,26884.3,45000
read,3015.7,4305.7,187.4,937.4,1000.6,1251.5,2232.6,4848.3,4975.4,5102.4,5721.2,8438.9,30307.8,38605.7,53846.4,26423.4,50000
read,3002.6,4273.7,218.6,924.2,995.7,1248.7,2225.6,4847.6,4974.6,5101.6,5701.5,7120.5,30463.1,37458.8,49112.3,26460.8,55000
