#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,399.0,582.3,173.5,234.7,262.6,372.4,404.8,424.7,437.1,454.3,471.5,503.4,592.5,7365.3,35617.4,4951.2,5000
read,443.9,305.5,160.7,226.3,249.2,436.2,497.3,528.9,549.6,578.0,612.9,665.8,782.4,3837.5,15649.7,10059.6,10000
read,477.7,265.5,160.7,235.7,258.8,451.7,531.5,579.1,616.0,659.9,715.5,792.8,941.4,3087.3,8086.8,15042.0,15000
read,512.4,332.9,160.7,235.9,258.6,469.7,564.3,628.3,682.3,744.3,812.9,904.1,1116.4,3904.5,12694.3,19852.2,20000
read,549.9,448.7,160.7,239.3,266.3,504.9,603.6,668.9,722.5,789.1,867.7,987.5,1247.2,3904.6,21754.7,24928.8,25000
read,576.2,385.5,160.7,239.4,268.3,535.4,649.4,716.7,766.2,825.4,899.7,1012.2,1265.9,4685.1,13787.7,29874.8,30000
read,586.7,388.0,160.7,238.9,268.2,539.1,664.1,737.6,791.2,853.3,930.5,1051.4,1360.3,4066.8,13335.7,35123.2,35000
read,601.1,372.0,160.7,243.3,273.8,555.0,690.1,767.8,819.5,878.5,954.2,1071.7,1331.9,3436.4,13368.6,39978.0,40000
read,591.8,373.5,160.7,244.3,273.2,521.4,647.5,738.3,811.0,892.5,992.0,1145.4,1457.5,3556.5,12194.4,45080.6,45000
read,658.3,467.3,160.7,263.6,305.1,592.3,738.9,821.0,880.5,951.0,1049.7,1209.6,1574.5,5099.6,16981.8,50159.4,50000
read,1370.9,932.4,173.5,996.7,1037.4,1175.0,1241.0,1275.9,1349.1,2041.7,2216.8,2336.8,2544.9,15684.3,31296.8,49170.1,55000
