#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,495.5,1029.1,173.5,246.9,277.0,414.3,470.1,501.7,524.5,549.2,586.5,653.7,1985.2,12460.7,37164.8,4941.6,5000
read,553.9,727.3,173.5,244.9,277.0,498.5,596.6,648.9,685.8,727.8,779.1,856.1,1335.6,8266.6,31875.3,9926.0,10000
read,578.4,361.6,173.5,245.5,273.7,529.5,647.2,719.0,770.5,828.9,899.0,1005.9,1306.5,4264.4,10107.5,14979.2,15000
read,666.2,710.1,173.5,246.7,282.7,611.9,736.3,803.0,851.6,909.5,986.8,1103.2,1563.1,9687.1,31326.2,19945.5,20000
read,690.9,565.5,173.5,249.6,288.1,649.9,790.5,859.6,911.2,974.2,1058.2,1186.4,1620.7,7360.9,21296.1,25119.0,25000
read,768.3,922.1,173.5,256.7,299.3,692.0,843.9,922.1,979.8,1049.8,1146.5,1304.0,2331.9,12586.0,32462.3,29902.3,30000
read,767.6,802.4,173.5,256.3,303.7,695.5,855.6,936.5,999.2,1071.4,1165.4,1325.9,2267.9,12952.0,29405.5,34997.0,35000
read,776.8,708.0,160.7,263.3,313.5,692.8,860.9,957.9,1031.7,1117.5,1234.5,1448.9,2219.3,7901.5,30843.3,39954.0,40000
read,1756.5,1392.2,187.4,1276.5,1314.9,1484.8,1569.6,1612.9,1705.0,2238.4,2779.6,2956.2,3477.3,27455.6,37398.2,39105.5,45000
read,1740.3,1284.6,202.4,1289.0,1323.4,1486.4,1568.5,1610.2,1686.9,1942.2,2775.6,2955.1,3496.4,25022.3,33367.3,39631.4,50000
read,1633.8,1211.3,187.4,1207.5,1245.4,1393.6,1466.1,1508.4,1587.0,1986.1,2613.0,2764.5,3171.0,23258.6,34719.2,42009.4,55000
