#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,460.4,806.7,173.5,239.0,267.1,408.4,461.0,491.3,511.9,537.7,571.1,628.4,1256.0,7769.5,32276.9,5026.4,5000
read,541.7,646.8,173.5,241.0,266.3,491.1,583.6,636.9,674.5,716.9,768.1,842.4,1240.4,6368.2,31716.9,10021.4,10000
read,574.6,376.7,160.7,238.6,269.9,536.9,646.6,715.6,763.1,814.2,873.2,964.2,1183.1,3913.6,14230.5,14991.2,15000
read,654.0,872.0,173.5,238.6,271.1,587.8,700.5,768.4,818.9,876.3,952.8,1072.3,1666.1,13837.3,31670.3,19849.0,20000
read,668.4,843.9,160.7,238.9,270.4,585.4,723.9,799.2,855.1,923.3,1014.2,1166.7,1763.7,10052.5,32187.8,24982.8,25000
read,654.2,613.2,173.5,236.7,267.9,593.8,741.9,818.8,870.8,936.4,1029.9,1176.0,1648.2,7877.8,27889.8,29960.6,30000
read,724.1,909.2,160.7,245.3,281.2,634.1,796.6,877.5,935.5,1007.9,1099.7,1254.2,2124.8,10214.7,36928.0,34870.4,35000
read,686.0,599.0,173.5,243.1,281.6,622.2,782.4,863.2,919.6,987.7,1078.6,1235.5,1770.3,6092.0,28204.8,39988.2,40000
read,728.6,658.4,160.7,257.8,307.2,648.3,807.0,893.8,961.0,1049.0,1165.6,1366.8,1894.3,7849.7,29694.4,45016.8,45000
read,1236.1,867.8,160.7,632.3,795.7,1093.0,1174.9,1249.6,1362.4,1748.5,2012.9,2189.6,2515.4,13123.0,30686.9,49555.6,50000
read,1531.3,1137.0,160.7,1115.0,1152.5,1297.5,1363.2,1414.5,1484.1,2212.4,2441.8,2575.9,3026.9,20358.8,32473.1,44505.4,55000
