#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,398.8,315.9,160.7,238.3,269.7,380.4,414.5,432.9,447.5,463.9,487.3,526.7,657.8,5956.6,9627.6,4940.6,5000
read,443.6,318.9,173.5,229.0,248.9,430.1,492.6,526.0,547.9,576.5,612.2,669.6,806.1,4269.9,12899.2,10069.4,10000
read,485.8,325.9,160.7,232.5,256.5,457.8,538.2,586.0,622.4,666.4,722.3,800.2,981.9,5107.1,12804.9,14927.2,15000
read,519.4,298.2,160.7,231.6,257.6,494.4,578.7,632.5,679.5,735.7,799.6,889.4,1066.8,2048.3,11741.5,19929.6,20000
read,549.1,346.0,160.7,233.2,260.7,516.6,615.3,677.3,726.2,785.7,862.0,971.5,1205.0,3267.7,10664.8,24987.4,25000
read,576.4,347.6,148.8,234.9,265.9,545.8,656.2,717.6,763.5,820.5,895.1,996.9,1209.4,5181.4,10429.8,29844.1,30000
read,574.5,415.3,160.7,233.2,260.5,513.6,632.4,711.8,773.2,845.8,938.9,1085.5,1441.1,3781.8,16972.4,35052.0,35000
read,591.8,393.7,160.7,235.9,265.0,537.4,669.8,748.4,805.4,870.1,951.7,1086.1,1427.1,3963.4,15088.5,39922.0,40000
read,606.1,413.9,160.7,239.6,272.8,543.4,677.5,762.0,823.5,892.3,981.8,1129.2,1465.7,4471.4,13593.1,44958.0,45000
read,635.1,436.0,160.7,251.7,292.3,570.8,710.7,795.2,857.1,928.9,1022.3,1177.7,1520.3,4026.6,16888.3,49854.6,50000
read,1366.3,890.2,187.4,973.6,1027.2,1171.9,1242.8,1281.1,1379.9,2043.5,2202.7,2329.6,2544.6,13545.7,32290.2,49108.4,55000
