#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,403.4,392.9,173.5,253.5,277.0,378.8,413.5,432.1,446.4,462.6,484.9,521.9,701.2,6150.5,15709.9,4929.8,5000,1714204947948,1714204953376
read,430.8,321.5,173.5,239.5,257.5,419.7,478.8,506.2,525.8,546.0,574.5,617.5,733.7,4422.1,13712.6,9831.0,10000,1714204954880,1714204960253
read,456.4,258.9,173.5,237.6,256.3,441.6,531.5,572.9,600.1,630.7,669.2,726.7,850.6,2287.8,8730.6,15099.5,15000,1714204961757,1714204967083
read,476.4,270.9,160.7,235.3,256.9,442.6,552.1,607.0,642.5,684.7,734.4,803.4,942.5,1600.3,11511.3,20021.8,20000,1714204968586,1714204973926
read,476.0,235.6,160.7,230.7,251.8,438.6,546.6,607.2,648.1,695.3,749.8,826.6,970.2,1591.4,7696.3,24938.0,25000,1714204975430,1714204980778
read,486.6,257.1,160.7,232.6,255.0,448.0,550.1,611.4,655.0,705.6,765.5,849.6,1035.5,1502.1,7966.1,30017.6,30000,1714204982281,1714204987596
read,467.4,240.5,148.8,223.3,243.3,435.7,525.8,581.1,623.0,672.7,731.7,807.3,962.4,1773.6,8905.6,35047.8,35000,1714204989101,1714204994400
read,475.7,244.8,148.8,224.3,243.5,449.8,541.4,595.2,635.8,685.5,747.0,829.4,979.3,1354.2,9032.2,39808.8,40000,1714204995905,1714205001208
read,477.5,255.1,160.7,225.8,244.9,445.6,542.7,599.0,639.9,690.3,754.4,843.0,1013.5,1749.7,8094.9,44936.4,45000,1714205002711,1714205008012
read,479.1,292.8,160.7,224.9,244.0,438.7,543.4,603.7,647.9,700.8,767.9,862.6,1048.2,1478.3,12083.9,50087.7,50000,1714205009515,1714205014823
read,484.8,271.0,160.7,228.7,249.8,439.7,547.4,610.6,656.2,709.9,775.0,867.5,1078.6,1850.6,9384.1,55110.6,55000,1714205016327,1714205021621
read,476.8,288.3,160.7,228.8,249.0,433.2,534.6,594.0,638.2,690.8,756.2,849.3,1038.5,2058.6,10062.5,60024.6,60000,1714205023124,1714205028426
read,469.6,263.1,160.7,227.7,248.6,427.7,525.7,585.2,629.9,681.6,744.9,836.6,1008.2,1417.0,8492.9,64960.4,65000,1714205029929,1714205035232
read,463.8,258.3,160.7,227.0,248.6,422.9,517.7,576.9,620.1,670.2,731.2,816.7,988.0,1334.3,9274.4,70231.2,70000,1714205036736,1714205042057
read,509.1,284.2,160.7,247.1,276.7,465.5,560.5,622.0,669.3,725.6,794.8,898.9,1091.5,1407.5,10551.3,75088.2,75000,1714205043560,1714205048858
read,764.5,364.5,173.5,425.0,477.7,656.2,804.4,984.0,1065.4,1137.8,1210.1,1295.3,1442.7,1982.1,12640.7,78902.6,80000,1714205050361,1714205055673
read,836.1,401.9,187.4,539.6,568.8,687.0,786.5,1125.8,1201.5,1252.7,1308.5,1371.2,1493.3,3771.3,13756.6,77353.2,85000,1714205057177,1714205062483
read,837.6,396.8,173.5,542.8,571.4,686.2,785.9,1129.9,1205.2,1256.7,1311.6,1370.2,1490.4,3882.6,12538.4,78145.2,90000,1714205063987,1714205069290
read,834.5,421.6,187.4,543.0,569.1,682.5,777.3,1127.4,1198.6,1247.5,1300.7,1366.2,1486.8,4571.4,14442.8,78728.0,95000,1714205070793,1714205076091
read,825.6,397.9,218.6,539.9,565.0,678.1,766.0,1119.4,1187.0,1236.3,1286.0,1360.8,1483.8,3938.1,13467.4,79594.6,100000,1714205077594,1714205082892
read,790.4,399.6,160.7,500.3,527.5,648.0,778.8,1062.7,1124.0,1173.9,1231.1,1299.7,1437.2,3356.5,15366.4,82995.8,105000,1714205084395,1714205089697
