#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,424.3,442.2,202.4,270.8,301.6,398.4,428.1,444.8,458.0,471.1,494.8,531.7,682.5,8370.8,14809.6,4915.4,5000,1713952473325,1713952478753
read,425.1,290.0,173.5,246.8,265.9,424.4,470.1,492.6,506.7,525.9,546.4,586.8,682.7,3861.0,13956.4,9973.7,10000,1713952480257,1713952485657
read,427.2,252.1,173.5,236.7,252.6,425.6,494.2,523.3,541.6,563.6,589.0,628.9,704.5,3734.5,9866.8,15050.8,15000,1713952487161,1713952492486
read,424.0,274.9,173.5,226.6,242.1,408.2,502.4,538.6,562.3,587.6,617.9,658.1,740.8,2928.8,10811.4,19915.4,20000,1713952493989,1713952499333
read,425.4,264.2,173.5,224.3,239.3,384.9,502.6,549.7,579.9,610.8,642.5,689.3,796.5,2204.2,10685.9,24944.4,25000,1713952500838,1713952506169
read,421.0,270.3,173.5,224.4,239.2,367.4,492.1,549.3,583.3,616.8,652.4,697.6,800.8,1856.6,11884.7,30168.0,30000,1713952507673,1713952513002
read,415.4,269.4,173.5,222.6,237.1,358.4,470.5,535.1,576.3,616.0,656.5,706.9,806.2,1751.7,10831.0,34953.2,35000,1713952514506,1713952519829
read,404.9,226.4,160.7,221.6,235.6,353.1,448.8,514.8,558.5,603.0,648.0,700.1,797.8,1164.1,8306.2,39947.4,40000,1713952521334,1713952526650
read,402.6,224.2,160.7,222.5,236.8,350.9,436.9,502.4,550.2,601.5,650.3,706.4,800.2,1267.4,8013.6,44914.6,45000,1713952528154,1713952533464
read,397.0,206.8,160.7,221.7,235.1,347.1,431.5,491.4,537.4,588.9,641.1,701.3,801.5,1061.3,7634.1,50104.6,50000,1713952534968,1713952540297
read,396.6,192.5,173.5,222.0,236.1,348.4,431.7,489.0,532.4,582.8,636.3,699.2,806.8,1168.0,6120.9,54794.8,55000,1713952541802,1713952547122
read,395.9,204.6,160.7,223.4,238.1,349.6,428.0,481.6,522.9,572.7,630.0,696.6,810.4,1174.3,6975.4,60051.0,60000,1713952548628,1713952553951
read,390.5,205.2,160.7,224.1,238.7,348.3,420.9,466.6,503.8,550.6,612.9,683.9,798.3,1234.1,8373.1,64969.0,65000,1713952555456,1713952560771
read,388.7,186.0,160.7,225.1,239.9,348.4,420.0,465.1,500.5,544.0,601.2,677.3,803.6,1082.9,6349.2,70081.7,70000,1713952562275,1713952567588
read,391.4,188.5,173.5,226.4,241.4,350.0,421.9,468.5,504.4,547.1,602.9,680.6,825.1,1164.7,7075.9,74948.4,75000,1713952569092,1713952574394
read,384.5,195.9,160.7,224.9,239.7,346.1,413.6,456.6,490.3,532.1,585.5,662.6,803.5,1105.0,7452.8,80093.9,80000,1713952575899,1713952581209
read,380.7,218.8,160.7,225.2,240.3,347.8,411.4,449.4,478.0,513.6,562.4,634.6,765.4,1179.7,8747.4,85052.9,85000,1713952582714,1713952588026
read,381.9,194.3,160.7,226.3,242.2,352.4,413.4,449.6,477.0,511.4,557.9,629.6,770.8,1082.8,8963.8,90078.8,90000,1713952589531,1713952594842
read,434.0,269.7,173.5,233.3,251.7,384.3,461.2,512.0,551.6,602.4,674.7,796.3,1040.2,1671.1,10499.3,94997.2,95000,1713952596346,1713952601667
read,427.0,251.5,173.5,236.4,255.3,384.8,455.5,501.2,537.7,584.6,650.3,761.9,980.7,1286.0,9427.8,99867.8,100000,1713952603170,1713952608478
read,461.4,250.8,173.5,247.7,272.3,421.0,494.5,542.1,580.9,629.7,696.8,805.4,1013.7,1477.5,10391.9,104952.2,105000,1713952609982,1713952615297
read,500.7,271.2,173.5,257.7,286.5,455.2,537.1,591.0,636.1,695.1,777.2,898.0,1096.4,1487.8,11013.0,109232.4,110000,1713952616801,1713952622116
read,494.2,247.0,160.7,257.3,285.3,445.6,526.3,581.1,627.9,691.8,782.9,900.9,1092.8,1406.3,8102.8,110408.3,115000,1713952623621,1713952628930
read,524.1,267.4,173.5,270.4,303.9,471.6,564.2,631.8,686.9,751.3,827.7,924.8,1085.2,1315.7,10383.3,111458.8,120000,1713952630434,1713952635741
read,547.6,292.9,173.5,283.8,321.8,489.4,573.9,632.9,687.1,766.2,872.9,1007.4,1218.2,1808.3,11882.6,111626.8,125000,1713952637245,1713952642557
