#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,409.2,593.6,187.4,270.8,301.0,398.4,427.7,443.8,456.4,469.0,492.9,532.4,658.5,1458.4,9163.1,4939.8,5000,1713953051969,1713953057469
read,430.4,134.9,173.5,246.6,267.1,437.2,483.6,507.3,524.8,542.8,569.2,610.4,708.9,986.9,2036.2,10017.6,10000,1713953058977,1713953064421
read,435.1,305.2,173.5,237.5,254.5,438.1,506.3,535.0,553.3,576.1,602.3,645.0,749.9,1651.7,5951.8,14971.8,15000,1713953065925,1713953071337
read,418.0,152.4,173.5,229.0,244.9,407.5,491.9,529.6,552.9,580.3,614.0,663.9,762.2,929.3,2118.3,19999.6,20000,1713953072841,1713953078208
read,426.5,263.1,160.7,226.9,242.8,393.6,506.8,554.5,582.8,613.1,646.2,692.8,796.2,1041.8,7923.1,25018.0,25000,1713953079711,1713953085089
read,417.8,190.5,173.5,224.5,239.4,369.2,489.4,548.3,582.4,617.8,657.0,708.7,805.2,974.7,2675.7,29858.1,30000,1713953086593,1713953091959
read,408.1,172.9,160.7,221.6,236.1,357.2,466.3,533.0,572.9,612.5,654.2,705.7,798.0,948.8,1780.7,35014.6,35000,1713953093465,1713953098821
read,419.0,175.0,173.5,225.6,241.0,365.7,469.6,538.9,584.2,630.6,679.3,739.7,859.7,1059.7,2134.6,40002.4,40000,1713953100326,1713953105697
read,409.0,182.7,160.7,223.8,238.7,359.4,452.3,517.4,563.6,610.1,659.2,720.4,836.5,1098.6,2163.9,45040.2,45000,1713953107201,1713953112546
read,406.5,190.4,160.7,223.8,238.7,357.7,447.8,508.9,553.2,602.0,655.4,720.0,843.5,1077.4,3775.6,49777.2,50000,1713953114050,1713953119401
read,393.5,166.6,160.7,221.6,235.6,346.4,429.0,485.8,531.8,580.6,633.1,693.3,806.1,1042.1,2028.5,54990.0,55000,1713953120906,1713953126265
read,393.9,171.3,173.5,222.9,237.4,349.5,426.6,477.0,520.6,572.1,630.8,701.7,825.4,1063.0,2380.4,59950.6,60000,1713953127770,1713953133125
read,388.2,178.0,160.7,222.9,237.0,345.5,420.9,468.0,508.2,556.4,613.2,683.2,799.9,1055.4,3853.0,64898.8,65000,1713953134630,1713953139999
read,388.0,154.7,173.5,223.1,237.6,350.9,423.2,466.7,501.9,544.6,600.0,678.8,811.9,1036.4,2535.8,70111.0,70000,1713953141504,1713953146857
read,384.2,156.7,160.7,223.4,237.9,348.9,418.3,459.9,493.0,534.2,587.5,665.9,801.3,1041.5,2476.6,74938.6,75000,1713953148362,1713953153709
read,378.1,154.8,160.7,223.5,238.0,343.7,409.3,450.2,481.7,522.4,574.4,647.7,781.1,1009.1,2380.2,79859.3,80000,1713953155214,1713953160553
read,386.5,152.7,160.7,225.9,241.4,353.4,419.8,460.3,492.3,531.8,583.3,662.0,809.9,1055.3,2119.5,84869.4,85000,1713953162058,1713953167421
read,397.1,179.0,160.7,228.3,244.7,362.8,430.9,473.0,506.2,545.4,596.9,680.5,853.9,1158.1,2316.5,90019.4,90000,1713953168926,1713953174290
read,386.7,150.9,173.5,229.3,245.9,361.0,421.6,457.4,484.9,519.0,564.2,634.3,787.1,1013.1,2117.5,95066.6,95000,1713953175794,1713953181153
read,431.6,224.0,160.7,234.8,255.2,393.3,463.9,508.5,544.7,590.5,657.9,776.3,1006.0,1298.8,4127.8,99715.0,100000,1713953182658,1713953188037
read,477.9,230.1,160.7,238.2,261.0,420.2,511.3,575.3,626.7,694.2,789.8,926.6,1169.2,1443.5,2212.1,104735.2,105000,1713953189542,1713953194904
read,589.4,4221.5,173.5,261.9,294.1,462.9,550.5,611.5,658.3,715.4,786.6,883.5,1060.7,1369.8,246769.4,103738.2,110000,1713953196408,1713953201758
read,526.8,194.1,173.5,276.6,311.2,485.8,590.4,653.9,696.8,744.2,800.6,877.7,1025.4,1236.3,2039.8,111565.2,115000,1713953203262,1713953208605
read,577.7,229.1,173.5,317.3,353.2,550.7,655.7,710.1,746.8,789.3,840.1,912.4,1050.4,1256.0,3798.0,110700.9,120000,1713953210110,1713953215480
read,639.8,4262.0,173.5,303.6,337.4,536.6,635.1,683.8,717.0,752.1,797.2,861.1,998.8,1772.3,253354.6,114872.4,125000,1713953216984,1713953222350
