p95,QPS,target,ts_start,ts_end,cpu_usage
491.2,4960.6,5000,1714238973689,1714238979119,3.1500000000000004
547.4,9988.0,10000,1714238980623,1714238986000,23.525
588.8,14864.8,15000,1714238987504,1714238992833,63.625
607.5,20092.6,20000,1714238994337,1714238999662,85.8
639.7,24735.4,25000,1714239001167,1714239006493,104.02000000000001
652.8,29907.0,30000,1714239007997,1714239013312,110.375
668.7,35108.0,35000,1714239014817,1714239020120,113.825
672.3,39957.6,40000,1714239021625,1714239026935,119.42500000000001
654.8,45033.6,45000,1714239028439,1714239033752,117.84
653.0,49737.9,50000,1714239035257,1714239040568,124.03999999999999
657.2,54889.4,55000,1714239042072,1714239047386,130.92499999999998
638.2,59894.0,60000,1714239048891,1714239054186,134.575
635.6,64874.0,65000,1714239055691,1714239061000,138.04999999999998
636.8,69614.4,70000,1714239062503,1714239067803,146.02499999999998
634.6,74856.2,75000,1714239069308,1714239074619,151.54
620.8,80091.2,80000,1714239076123,1714239081439,157.45
615.2,84820.8,85000,1714239082943,1714239088250,164.25
624.3,90151.8,90000,1714239089754,1714239095063,172.15
592.8,95037.6,95000,1714239096567,1714239101871,172.04999999999998
567.1,100074.2,100000,1714239103374,1714239108698,170.42000000000002
623.8,105145.6,105000,1714239110202,1714239115505,186.925
677.9,109742.2,110000,1714239117009,1714239122311,188.64999999999998
668.6,114822.4,115000,1714239123815,1714239129121,194.0
802.4,116968.5,120000,1714239130625,1714239135926,197.325
924.4,113171.3,125000,1714239137431,1714239142722,195.07999999999998
