p95,QPS,target,ts_start,ts_end,cpu_usage
525.4,5010.8,5000,1714237593280,1714237598719,5.74
636.3,9910.6,10000,1714237600222,1714237605579,32.760000000000005
686.0,14963.4,15000,1714237607083,1714237612406,47.14
782.7,20068.6,20000,1714237613910,1714237619234,56.95
804.7,25067.4,25000,1714237620738,1714237626063,60.025
872.0,30089.4,30000,1714237627567,1714237632910,62.95
979.3,35014.0,35000,1714237634416,1714237639708,66.85000000000001
989.7,39889.6,40000,1714237641211,1714237646494,68.96
1063.6,44959.8,45000,1714237647998,1714237653306,73.0
1137.0,50012.0,50000,1714237654810,1714237660121,77.05
1177.1,55029.2,55000,1714237661625,1714237666925,81.35000000000001
1271.4,59829.2,60000,1714237668429,1714237673741,90.5
1362.4,65000.0,65000,1714237675244,1714237680552,93.62
1942.6,69682.4,70000,1714237682057,1714237687357,99.5
1516.1,74798.0,75000,1714237688862,1714237694154,98.30000000000001
2015.0,70341.4,80000,1714237695659,1714237700956,100.0
1945.8,73046.0,85000,1714237702460,1714237707755,95.53999999999999
1977.4,71513.8,90000,1714237709259,1714237714556,99.6
1931.3,74682.8,95000,1714237716060,1714237721372,100.0
1951.9,72272.6,100000,1714237722876,1714237728192,100.0
1956.2,72609.1,105000,1714237729697,1714237734990,100.0
1948.7,74279.0,110000,1714237736493,1714237741786,95.67999999999999
2074.2,67781.4,115000,1714237743291,1714237748602,99.6
1950.8,73772.8,120000,1714237750106,1714237755406,100.0
2014.7,68813.6,125000,1714237756911,1714237762211,100.0
