#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,409.0,475.7,187.4,255.8,275.8,378.8,413.7,431.9,445.9,461.9,482.7,514.5,799.8,7200.3,19795.7,4922.2,5000,1714239245115,1714239250570
read,444.4,376.0,187.4,249.6,268.5,434.8,491.1,519.5,539.0,561.0,586.4,625.4,711.3,6924.5,13367.3,9882.8,10000,1714239252074,1714239257441
read,450.2,304.1,173.5,246.0,265.6,429.8,513.4,553.4,579.7,608.1,639.4,687.1,788.2,3091.4,11700.6,14917.6,15000,1714239258945,1714239264285
read,468.4,291.5,173.5,238.6,259.1,442.6,531.1,580.9,614.5,650.4,692.6,751.3,905.5,2097.1,12188.4,20082.2,20000,1714239265789,1714239271115
read,495.4,260.2,160.7,235.5,255.9,471.9,562.4,613.0,648.3,690.9,742.6,824.6,1028.0,3329.7,8746.4,24943.8,25000,1714239272620,1714239277952
read,500.6,296.4,173.5,233.5,253.3,476.3,567.7,621.0,660.1,705.5,761.2,854.3,1043.5,2135.3,9877.7,29953.6,30000,1714239279457,1714239284761
read,497.7,304.6,173.5,232.1,251.2,472.2,566.9,621.1,660.4,706.5,764.7,863.9,1061.7,1697.5,12835.1,35181.2,35000,1714239286265,1714239291578
read,496.9,279.5,173.5,233.1,252.6,470.4,567.8,621.9,662.1,709.6,769.8,866.1,1056.0,1466.3,10958.8,39953.3,40000,1714239293083,1714239298388
read,503.2,273.4,160.7,234.9,255.2,466.8,573.3,631.8,676.4,728.3,793.5,903.3,1092.7,1788.3,8555.9,45198.2,45000,1714239299892,1714239305200
read,496.5,342.4,160.7,231.0,251.0,456.4,558.7,617.9,662.6,716.1,784.6,900.7,1098.3,1934.1,12534.3,49987.4,50000,1714239306705,1714239312003
read,500.5,298.5,173.5,236.9,257.1,459.4,563.2,622.8,668.3,723.6,794.9,909.1,1093.2,1596.5,12027.3,55001.2,55000,1714239313508,1714239318822
read,484.4,275.3,160.7,235.3,254.7,436.8,540.0,602.8,650.9,708.9,779.5,886.0,1071.1,1479.3,8786.3,60086.2,60000,1714239320327,1714239325623
read,496.8,267.4,160.7,240.0,263.1,453.2,553.0,612.5,657.2,713.5,786.1,897.6,1093.9,1504.0,8516.8,65118.8,65000,1714239327127,1714239332431
read,509.3,295.5,173.5,246.9,274.1,463.9,561.2,620.9,667.0,724.4,799.9,914.6,1124.3,1449.8,11067.3,70072.6,70000,1714239333935,1714239339258
read,874.5,512.8,173.5,527.3,568.0,727.2,930.1,1150.5,1224.4,1288.3,1352.1,1435.1,1576.5,5245.9,20266.4,72719.8,75000,1714239340762,1714239346086
read,871.8,445.1,173.5,537.3,576.4,722.7,869.7,1165.3,1236.2,1297.4,1355.6,1435.6,1576.0,4284.0,15704.3,74052.6,80000,1714239347590,1714239352894
read,902.0,453.2,173.5,554.0,588.6,760.4,870.0,1157.9,1251.4,1342.8,1431.0,1525.8,1678.1,4419.8,16921.9,72982.8,85000,1714239354398,1714239359716
read,911.8,490.8,187.4,540.6,585.2,773.5,881.8,1144.6,1263.9,1373.2,1455.5,1548.5,1694.8,4765.8,18505.0,72068.5,90000,1714239361220,1714239366524
read,893.0,464.2,173.5,570.2,605.8,733.8,836.6,1211.9,1287.9,1337.7,1388.1,1463.7,1593.4,4805.7,16868.7,73723.8,95000,1714239368029,1714239373338
read,906.3,513.7,187.4,569.9,604.9,746.2,864.5,1206.4,1284.2,1345.6,1412.4,1490.0,1627.0,4660.2,20820.0,72859.4,100000,1714239374842,1714239380151
read,851.8,454.2,160.7,526.5,559.1,703.4,903.8,1131.0,1191.0,1243.7,1305.1,1399.6,1574.4,4779.3,17294.4,77377.6,105000,1714239381655,1714239386958
read,896.3,498.7,187.4,566.0,600.3,733.2,867.7,1209.7,1275.3,1328.4,1379.6,1457.5,1591.2,4434.7,19870.6,73647.2,110000,1714239388463,1714239393761
read,913.4,511.7,187.4,590.1,619.8,748.0,843.1,1221.9,1306.8,1366.9,1428.1,1489.9,1612.3,6013.9,19568.4,72324.4,115000,1714239395265,1714239400566
read,893.9,477.3,187.4,569.9,603.4,732.1,845.8,1209.7,1279.0,1330.4,1380.5,1459.0,1595.9,5684.0,17223.6,73772.2,120000,1714239402070,1714239407374
read,891.1,488.9,202.4,564.1,600.0,731.4,852.5,1201.1,1271.7,1327.9,1381.2,1458.4,1589.1,4061.2,19867.5,74069.4,125000,1714239408877,1714239414166
