#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,419.8,495.1,187.4,256.8,276.1,389.7,426.2,445.8,459.6,474.3,496.2,529.1,938.5,8870.7,16083.1,4931.4,5000,1714238272978,1714238278414
read,438.0,1646.7,173.5,243.9,261.3,417.3,476.8,504.6,524.2,544.7,572.9,613.2,706.7,4005.4,14516.4,9966.4,10000,1714238279919,1714238285318
read,464.4,812.1,173.5,242.2,262.4,449.8,532.8,573.2,599.6,628.3,664.2,716.8,830.7,2256.9,9117.2,15070.2,15000,1714238286821,1714238292143
read,466.9,271.2,173.5,239.5,260.3,442.5,530.8,579.6,612.4,647.0,687.8,744.8,872.9,1984.1,11935.6,20158.8,20000,1714238293647,1714238298978
read,490.1,268.8,173.5,236.9,258.4,466.1,551.9,601.5,637.4,679.9,731.5,802.9,998.2,3037.3,9627.3,24943.2,25000,1714238300483,1714238305801
read,496.5,273.7,173.5,232.1,252.2,473.4,566.6,620.0,657.6,701.5,754.9,838.9,1023.0,1474.2,11069.5,30018.0,30000,1714238307305,1714238312635
read,506.0,281.4,160.7,234.3,253.5,482.0,576.6,630.3,670.4,717.9,776.8,872.2,1074.1,2716.0,8730.0,35112.0,35000,1714238314139,1714238319448
read,498.9,297.9,173.5,238.3,258.2,467.8,562.7,618.0,659.4,709.3,771.7,872.5,1086.0,3172.0,11305.6,39901.4,40000,1714238320952,1714238326247
read,500.1,289.0,173.5,238.5,257.9,465.4,568.8,625.7,668.0,718.0,780.6,884.5,1087.8,1801.3,10674.7,44859.0,45000,1714238327752,1714238333054
read,474.8,277.2,160.7,227.4,245.9,437.5,538.1,593.7,636.0,686.6,747.8,848.8,1051.2,1460.9,11528.1,49946.0,50000,1714238334558,1714238339854
read,481.6,465.4,173.5,230.5,250.1,439.5,541.2,599.4,642.0,696.1,766.6,871.9,1081.8,1518.3,8177.4,55058.7,55000,1714238341359,1714238346660
read,489.1,266.2,173.5,234.3,255.6,449.5,551.6,609.6,651.9,704.3,771.5,874.8,1080.8,1459.4,8694.8,59811.8,60000,1714238348163,1714238353462
read,465.3,572.5,173.5,232.4,251.1,418.8,519.7,582.3,626.6,677.3,738.2,825.8,994.2,1284.3,9929.9,65104.8,65000,1714238354966,1714238360268
read,615.0,369.7,173.5,279.0,323.0,564.3,669.0,735.1,793.6,874.4,980.5,1128.2,1371.4,1899.2,13942.9,70072.0,70000,1714238361772,1714238367074
read,940.5,614.5,173.5,592.8,631.6,784.1,890.4,1238.8,1332.1,1403.9,1469.6,1558.2,1705.9,5422.9,18718.4,69106.0,75000,1714238368578,1714238373872
read,866.7,646.5,173.5,532.5,572.8,721.3,863.9,1155.8,1228.5,1289.9,1349.7,1428.6,1565.4,2482.4,17924.5,73993.0,80000,1714238375376,1714238380696
read,963.1,531.6,173.5,625.6,662.0,798.8,880.1,1275.7,1386.6,1449.4,1515.6,1592.5,1728.0,5639.4,20083.2,68522.6,85000,1714238382200,1714238387496
read,949.8,486.2,187.4,621.2,655.7,784.6,866.4,1288.8,1373.0,1432.8,1488.1,1568.1,1699.9,4472.3,17938.1,69394.2,90000,1714238389000,1714238394297
read,948.6,500.6,202.4,611.3,647.7,780.9,871.7,1287.0,1360.5,1422.0,1477.0,1556.6,1687.3,4729.4,18350.3,69601.8,95000,1714238395801,1714238401109
read,934.2,578.3,187.4,598.9,634.0,772.6,872.6,1256.5,1332.5,1394.8,1453.8,1529.7,1667.7,4642.7,16620.9,70456.4,100000,1714238402614,1714238407917
read,840.5,445.1,173.5,521.8,555.9,684.3,962.3,1135.3,1193.3,1238.0,1282.7,1354.6,1478.3,3871.9,17260.5,78218.4,105000,1714238409421,1714238414713
read,899.6,492.4,218.6,565.7,600.4,733.2,919.3,1216.8,1279.6,1329.9,1379.3,1455.3,1586.9,5628.3,17134.2,73396.6,110000,1714238416218,1714238421517
read,963.2,521.6,187.4,625.6,661.0,794.8,879.7,1286.3,1383.5,1445.3,1508.5,1585.3,1724.2,6559.8,18723.3,68703.8,115000,1714238423022,1714238428318
read,910.9,481.8,202.4,579.3,611.4,746.1,868.7,1224.9,1295.9,1349.7,1409.1,1480.5,1610.1,4701.3,17247.9,72442.6,120000,1714238429823,1714238435134
read,909.8,463.4,173.5,598.0,625.4,742.4,834.0,1237.6,1313.6,1366.3,1423.4,1483.1,1606.8,5501.7,16465.6,72495.0,125000,1714238436639,1714238441938
