time,CPU0,CPU1,CPU_total
1714237868476.747,0.0,0.0,0.0
1714237869477.9521,0.0,0.0,0.0
1714237870479.3044,0.0,0.0,0.0
1714237871480.595,1.0,2.0,1.0
1714237872481.9016,0.0,1.0,0.0
1714237873483.1821,4.1,1.0,4.1
1714237874484.465,5.2,2.0,5.2
1714237875485.7632,5.2,0.0,5.2
1714237876487.0986,4.2,2.0,4.2
1714237877488.4182,6.2,0.0,6.2
1714237878489.7244,0.0,1.0,0.0
1714237879491.0337,1.0,0.0,1.0
1714237880491.612,27.0,4.9,27.0
1714237881493.0615,28.0,4.9,28.0
1714237882494.3506,32.0,5.8,32.0
1714237883495.6555,32.5,5.9,32.5
1714237884496.9692,28.9,1.0,28.9
1714237885497.789,6.8,1.0,6.8
1714237886499.085,1.0,0.0,1.0
1714237887499.6143,45.5,4.0,45.5
1714237888500.974,47.0,3.0,47.0
1714237889502.2864,48.0,6.8,48.0
1714237890503.5889,48.0,7.7,48.0
1714237891504.9229,44.8,13.0,44.8
1714237892506.213,2.0,0.0,2.0
1714237893507.4783,11.9,2.0,11.9
1714237894508.8955,55.0,7.7,55.0
1714237895510.18,56.2,10.5,56.2
1714237896511.504,55.6,12.0,55.6
1714237897512.9585,54.7,7.8,54.7
1714237898514.064,49.0,8.6,49.0
1714237899515.4875,1.0,0.0,1.0
1714237900516.8254,26.4,4.0,26.4
1714237901518.1042,60.5,9.6,60.5
1714237902519.3923,59.4,7.9,59.4
1714237903520.9087,59.4,7.9,59.4
1714237904522.1924,59.6,7.9,59.6
1714237905523.484,46.1,6.8,46.1
1714237906524.823,0.0,0.0,0.0
1714237907526.1145,38.8,7.8,38.8
1714237908527.385,62.4,11.8,62.4
1714237909528.809,62.7,13.5,62.7
1714237910530.1372,62.3,19.6,62.3
1714237911531.4675,62.4,12.6,62.4
1714237912532.9785,37.0,6.0,37.0
1714237913534.284,0.0,1.0,0.0
1714237914535.7065,51.4,7.9,51.4
1714237915537.1292,65.4,12.6,65.4
1714237916538.4426,65.3,14.3,65.3
1714237917539.6262,65.4,13.5,65.4
1714237918541.1038,65.4,15.9,65.4
1714237919542.398,25.2,2.0,25.2
1714237920543.6868,1.0,0.0,1.0
1714237921544.956,65.5,14.7,65.5
1714237922545.8022,69.7,13.2,69.7
1714237923547.231,69.4,9.8,69.4
1714237924548.7097,68.7,7.9,68.7
1714237925550.078,69.2,16.4,69.2
1714237926551.354,8.7,2.0,8.7
1714237927552.6873,9.6,2.0,9.6
1714237928554.169,73.5,15.9,73.5
1714237929555.483,73.0,12.5,73.0
1714237930556.9802,72.7,11.7,72.7
1714237931558.3997,72.8,15.2,72.8
1714237932559.6472,67.9,11.7,67.9
1714237933560.9446,2.0,1.0,2.0
1714237934562.2244,28.4,4.0,28.4
1714237935563.4978,75.8,10.4,75.8
1714237936564.9414,75.8,15.5,75.8
1714237937566.3752,76.2,18.9,76.2
1714237938567.6824,76.5,14.7,76.5
1714237939569.1428,56.7,10.9,56.7
1714237940570.4646,0.0,0.0,0.0
1714237941571.61,45.0,8.8,45.0
1714237942573.0696,79.4,17.8,79.4
1714237943574.5022,80.2,12.1,80.2
1714237944575.6465,80.6,9.4,80.6
1714237945577.053,80.0,17.9,80.0
1714237946578.1663,44.6,6.9,44.6
1714237947579.4392,1.0,1.0,1.0
1714237948580.7546,61.9,7.2,61.9
1714237949582.171,84.0,21.3,84.0
1714237950583.5637,84.7,13.9,84.7
1714237951584.9507,86.3,24.5,86.3
1714237952586.2996,86.1,18.1,86.1
1714237953587.6367,29.2,5.0,29.2
1714237954588.9238,0.0,0.0,0.0
1714237955590.1833,82.2,13.7,82.2
1714237956591.6545,93.5,13.9,93.5
1714237957593.0552,93.5,12.0,93.5
1714237958594.3828,94.3,17.9,94.3
1714237959595.6152,93.5,8.3,93.5
1714237960596.9888,11.9,3.0,11.9
1714237961598.2605,2.0,1.0,2.0
1714237962599.5586,60.6,9.9,60.6
1714237963601.0151,96.2,13.1,96.2
1714237964602.4956,96.2,15.5,96.2
1714237965603.6091,96.2,12.1,96.2
1714237966604.926,96.2,14.7,96.2
1714237967606.323,37.9,4.1,37.9
1714237968607.6074,0.0,0.0,0.0
1714237969608.8901,36.4,7.0,36.4
1714237970610.3123,100.0,7.8,100.0
1714237971611.634,100.0,16.8,100.0
1714237972612.9607,100.0,16.2,100.0
1714237973614.315,100.0,13.5,100.0
1714237974615.6738,64.0,10.0,64.0
1714237975617.0217,1.0,0.0,1.0
1714237976618.3254,12.9,1.0,12.9
1714237977619.6528,100.0,12.6,100.0
