time,CPU0,CPU1,CPU_total
1714238969371.2642,0.0,0.0,0.0
1714238970372.445,1.0,0.0,1.0
1714238971373.754,1.0,1.0,2.0
1714238972375.0415,0.0,1.0,1.0
1714238973376.3184,1.0,1.0,2.0
1714238974377.5776,2.0,0.0,2.0
1714238975378.8708,1.1,2.1,3.2
1714238976380.2234,0.0,0.0,0.0
1714238977381.5059,3.1,2.1,5.2
1714238978382.771,2.1,2.1,4.2
1714238979384.0916,1.0,2.1,3.1
1714238980385.3672,0.0,0.0,0.0
1714238981386.4846,7.8,5.9,13.7
1714238982387.6138,10.1,15.2,25.299999999999997
1714238983388.902,9.9,11.8,21.700000000000003
1714238984390.1665,12.7,13.5,26.2
1714238985391.4932,10.0,10.9,20.9
1714238986392.9243,5.1,6.9,12.0
1714238987394.2234,2.0,0.0,2.0
1714238988395.544,24.8,18.7,43.5
1714238989396.944,33.6,31.2,64.8
1714238990398.2114,30.6,28.1,58.7
1714238991399.5303,38.0,34.4,72.4
1714238992400.2896,31.5,27.1,58.6
1714238993401.577,16.1,14.5,30.6
1714238994402.847,1.0,0.0,1.0
1714238995403.6726,35.3,40.6,75.9
1714238996405.0374,43.8,48.7,92.5
1714238997406.3079,41.4,45.6,87.0
1714238998407.609,42.0,46.4,88.4
1714238999408.9475,39.9,45.3,85.19999999999999
1714239000410.2473,12.7,15.8,28.5
1714239001411.5188,0.0,0.0,0.0
1714239002412.8093,51.6,51.6,103.2
1714239003414.0618,51.9,52.2,104.1
1714239004415.3442,52.8,51.3,104.1
1714239005416.7769,52.8,52.7,105.5
1714239006417.4763,51.6,51.6,103.2
1714239007418.747,1.0,2.0,3.0
1714239008419.6628,14.4,14.4,28.8
1714239009421.0586,56.4,54.0,110.4
1714239010422.3416,56.4,54.9,111.3
1714239011423.6104,56.2,53.7,109.9
1714239012425.1099,56.1,53.8,109.9
1714239013426.447,50.0,48.0,98.0
1714239014427.6064,2.0,0.0,2.0
1714239015428.8704,29.3,27.6,56.900000000000006
1714239016430.181,59.2,54.7,113.9
1714239017431.4573,59.1,53.9,113.0
1714239018432.4028,60.2,55.4,115.6
1714239019433.7354,59.2,53.6,112.80000000000001
1714239020435.0154,43.6,40.0,83.6
1714239021436.3057,0.0,0.0,0.0
1714239022437.614,39.2,40.2,79.4
1714239023438.9128,60.0,59.5,119.5
1714239024439.6226,60.3,58.8,119.1
1714239025441.191,60.0,59.5,119.5
1714239026442.517,59.6,60.0,119.6
1714239027443.6118,33.3,31.7,65.0
1714239028444.6575,0.0,0.0,0.0
1714239029445.9595,50.7,49.6,100.30000000000001
1714239030447.2458,61.8,61.1,122.9
1714239031449.0364,61.0,61.8,122.8
1714239032449.7651,61.4,59.7,121.1
1714239033451.1316,61.0,61.1,122.1
1714239034451.6187,21.9,21.9,43.8
1714239035452.9517,2.0,2.0,4.0
1714239036454.2212,60.4,61.0,121.4
1714239037455.5242,62.4,62.6,125.0
1714239038457.248,61.3,62.7,124.0
1714239039458.6255,62.0,62.9,124.9
1714239040459.6318,63.2,61.7,124.9
1714239041461.1992,4.9,4.0,8.9
1714239042462.4543,12.4,13.1,25.5
1714239043463.6204,65.1,65.3,130.39999999999998
1714239044465.1113,65.5,65.8,131.3
1714239045466.5103,65.1,65.8,130.89999999999998
1714239046467.6252,65.3,65.8,131.1
1714239047469.1023,58.1,58.6,116.7
1714239048470.424,0.0,1.0,1.0
1714239049471.7385,30.2,28.1,58.3
1714239050473.47,67.8,66.7,134.5
1714239051474.8262,67.6,66.2,133.8
1714239052475.711,68.3,66.7,135.0
1714239053477.2576,68.1,66.9,135.0
1714239054478.689,49.6,50.0,99.6
1714239055480.0042,0.0,0.0,0.0
1714239056481.319,43.1,44.2,87.30000000000001
1714239057482.6008,68.3,70.3,138.6
1714239058483.613,68.8,70.9,139.7
1714239059485.1506,66.9,69.1,136.0
1714239060486.6284,67.6,70.3,137.89999999999998
1714239061487.9673,37.3,37.6,74.9
1714239062489.2803,0.0,0.0,0.0
1714239063490.609,58.9,58.3,117.19999999999999
1714239064491.662,74.0,72.9,146.9
1714239065493.0596,73.8,72.6,146.39999999999998
1714239066494.4766,73.3,72.4,145.7
1714239067495.6003,73.7,71.4,145.10000000000002
1714239068497.0645,23.9,23.1,47.0
1714239069498.3584,0.0,0.0,0.0
1714239070499.6265,72.4,74.0,146.4
1714239071501.1116,76.3,78.7,155.0
1714239072502.4656,74.8,76.0,150.8
1714239073503.616,76.3,77.3,153.6
1714239074505.1245,75.2,76.7,151.9
1714239075506.5369,5.0,4.0,9.0
1714239076507.6438,14.2,12.5,26.7
1714239077509.2102,79.0,80.3,159.3
1714239078510.5571,77.0,78.7,155.7
1714239079511.6685,78.1,80.5,158.6
1714239080513.4531,77.5,78.7,156.2
1714239081515.0132,68.3,70.5,138.8
1714239082516.305,0.0,0.0,0.0
1714239083517.5547,30.8,30.8,61.6
1714239084519.0786,82.5,83.1,165.6
1714239085519.6777,83.3,82.1,165.39999999999998
1714239086521.1868,81.8,81.8,163.6
1714239087522.861,81.1,81.3,162.39999999999998
1714239088523.6025,57.9,57.5,115.4
1714239089524.8884,1.0,0.0,1.0
1714239090526.1558,46.4,49.5,95.9
1714239091527.531,83.3,88.6,171.89999999999998
1714239092529.0918,82.5,88.5,171.0
1714239093530.5735,84.7,90.1,174.8
1714239094531.606,83.3,87.6,170.89999999999998
1714239095533.1113,43.1,44.8,87.9
1714239096534.4075,0.0,0.0,0.0
1714239097535.6846,67.0,63.7,130.7
1714239098537.2837,89.2,83.9,173.10000000000002
1714239099539.0771,88.4,84.0,172.4
1714239100539.6672,87.8,82.5,170.3
1714239101541.206,89.2,83.2,172.4
1714239102542.425,26.2,25.7,51.9
1714239103543.712,0.0,1.0,1.0
1714239104544.3162,78.3,77.8,156.1
1714239105545.3477,85.3,86.1,171.39999999999998
1714239106546.7996,87.0,87.6,174.6
1714239107547.658,87.7,87.1,174.8
1714239108549.3584,87.6,87.6,175.2
1714239109550.952,9.8,9.8,19.6
1714239110551.6667,11.9,10.9,22.8
1714239111553.1565,95.2,94.3,189.5
1714239112554.6162,93.6,93.5,187.1
1714239113555.719,92.5,93.4,185.9
1714239114557.105,93.4,91.8,185.2
1714239115558.564,85.6,85.3,170.89999999999998
1714239116559.6096,0.0,1.0,1.0
1714239117560.9077,31.0,30.4,61.4
1714239118562.4521,97.1,90.1,187.2
1714239119563.5994,96.1,90.0,186.1
1714239120565.1294,98.1,92.7,190.8
1714239121566.7878,98.0,92.5,190.5
1714239122568.335,69.0,65.1,134.1
1714239123569.615,0.0,0.0,0.0
1714239124571.0483,50.5,51.5,102.0
1714239125572.35,98.0,99.0,197.0
1714239126573.8657,96.2,98.0,194.2
1714239127575.4246,94.3,96.2,190.5
1714239128577.0005,96.2,98.1,194.3
1714239129578.4802,46.6,47.5,94.1
1714239130579.7815,0.0,0.0,0.0
1714239131581.1118,69.6,71.6,141.2
1714239132582.7112,98.0,100.0,198.0
1714239133583.6155,97.1,100.0,197.1
1714239134585.2786,95.2,100.0,195.2
1714239135586.7927,99.0,100.0,199.0
1714239136587.623,27.7,29.7,57.4
1714239137588.453,0.0,0.0,0.0
1714239138589.7734,89.3,92.0,181.3
1714239139591.2175,99.0,100.0,199.0
1714239140592.738,98.1,100.0,198.1
1714239141594.216,99.0,100.0,199.0
1714239142595.6414,98.0,100.0,198.0
1714239143597.126,8.0,7.1,15.1
1714239144598.4038,0.0,0.0,0.0
1714239145599.7214,1.0,0.0,1.0
1714239146601.0327,0.0,0.0,0.0
1714239147602.3083,1.0,1.0,2.0
1714239148603.623,0.0,1.0,1.0
1714239149604.9646,0.0,0.0,0.0
1714239150606.2405,1.0,0.0,1.0
1714239151607.5137,1.0,2.0,3.0
1714239152608.836,1.0,1.0,2.0
1714239153610.1436,1.0,1.0,2.0
1714239154611.4385,1.0,0.0,1.0
1714239155612.803,0.0,0.0,0.0
1714239156614.127,0.0,1.0,1.0
1714239157615.474,0.0,0.0,0.0
1714239158616.7866,0.0,1.0,1.0
1714239159618.0469,0.0,0.0,0.0
1714239160619.3264,0.0,1.0,1.0
1714239161620.6602,1.0,0.0,1.0
1714239162621.979,0.0,0.0,0.0
1714239163623.294,0.0,0.0,0.0
1714239164624.5889,0.0,1.0,1.0
