Total number of intervals = 90
Timestamp start: 1715940446344
Timestamp end: 1715941347034

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      327.6   375.2    68.9   143.3   169.3   305.5   349.0   373.4   391.9   413.3   441.0   488.8   661.3  5450.8 12716.9   7415.8     7434
read      413.9   463.5    63.8   124.8   143.2   265.1   339.9   397.1   456.5   587.4  1045.6  1468.8  1944.1  2632.4 10760.9  67184.5    67201
read      481.7   508.9    63.8   136.3   161.2   320.5   418.8   494.2   550.8   635.1  1335.1  1640.4  2015.9  2978.7 11191.9  85856.6    85927
read      321.5   230.8    68.9   123.1   140.9   290.0   364.7   409.4   443.4   483.6   533.9   608.5   803.3  1759.7  8578.1  63909.9    63953
read      528.5  1223.3    63.8   125.6   144.7   309.9   441.7   573.3   696.4   822.6   952.5  1141.2  3730.1 14262.3 35752.9  31647.4    31595
read      362.9   374.4    68.9   125.8   145.5   297.0   369.7   420.5   463.0   517.4   589.0   728.1  1704.4  3518.3  9951.0  87963.8    87879
read      656.0  2454.1    74.4   134.9   163.1   303.1   353.7   383.0   404.3   433.5   477.4   785.6 10162.2 32493.8 41899.4   7300.8     7287
read      351.0   382.1    63.8   122.5   140.7   295.9   375.1   425.1   462.8   508.3   569.6   680.8  1485.6  3357.5 11017.1  62190.0    62295
read      680.3  2513.6    74.4   143.5   172.7   314.1   363.8   391.8   413.4   442.1   490.6   828.7 10339.1 32402.9 50372.9   6620.3     6561
read      608.9  1790.2    68.9   127.6   147.2   340.9   484.4   584.0   649.8   717.7   802.0   956.8  8215.2 31062.6 38215.3  22529.0    22532
read      357.8   365.0    68.9   123.3   141.5   293.8   372.2   423.3   462.6   509.9   576.9   716.6  1637.9  3796.8  8742.4  60735.7    60653
read      343.7   310.1    68.9   122.4   140.2   290.8   368.1   417.0   455.2   501.3   562.5   675.4  1465.9  2686.4  9254.6  59097.0    59076
read      339.4   295.3    63.8   125.8   143.6   295.0   371.1   418.8   455.0   498.2   553.8   647.5  1263.4  2602.9  8703.7  60191.3    60154
read      456.0   892.1    68.9   128.7   147.8   324.4   444.3   533.6   604.5   677.7   761.1   893.6  2964.8  8413.7 32479.0  22883.1    22964
read      462.5  1335.3    74.4   138.1   165.7   318.2   374.6   406.1   429.1   456.7   495.1   584.8  4337.6 26878.9 38428.3   8189.4     8172
read      501.0   948.6    68.9   126.5   146.0   319.1   469.6   610.6   706.9   801.6   903.1  1051.3  3663.3  8824.5 35475.9  27763.7    27652
read      503.3   969.0    68.9   126.3   145.4   306.3   424.4   542.6   689.1   867.0  1027.3  1225.3  2885.5 10590.8 33785.0  37546.3    37594
read      610.6  1757.4    68.9   127.6   147.4   331.1   480.1   597.4   673.6   752.1   852.1  1013.6  7832.2 31099.8 40934.5  24398.1    24367
read      579.1  1400.4    68.9   127.8   147.1   317.5   464.7   620.4   757.0   892.6  1029.1  1245.1  5336.0 23591.2 36949.8  33849.8    33771
read      357.1   408.2    63.8   125.6   145.2   296.4   372.3   422.8   462.6   511.2   577.6   690.4  1556.3  4382.3 10677.6  84823.0    84944
read      347.3   324.7    68.9   126.0   145.6   298.0   370.8   419.2   458.7   507.5   572.1   673.2  1278.2  3604.5  9563.0  85718.6    85666
read      394.9   446.3    68.9   128.2   147.0   310.4   396.9   454.2   500.2   560.6   657.2   945.6  1708.4  4821.5 14755.3  51942.6    51918
read      564.7  1323.4    68.9   127.2   146.5   313.4   450.2   596.3   740.4   882.7  1024.4  1241.9  5116.4 16693.4 36887.4  34422.1    34406
read      588.0  1476.3    68.9   126.1   145.6   323.0   479.5   627.5   727.9   829.0   943.2  1158.8  6252.3 28912.5 37043.3  28664.8    28664
read      502.2  1023.3    68.9   125.7   144.5   307.3   419.2   519.1   624.8   810.1   999.7  1228.7  3019.9 11993.0 32335.4  38463.4    38289
read      506.0  1277.7    68.9   127.3   147.2   340.6   466.9   548.4   602.3   660.8   733.2   862.1  4801.7 19298.2 36735.5  20673.3    20658
read      418.7   924.2    68.9   129.9   149.9   332.6   418.7   467.4   500.3   536.4   583.0   662.1  1645.2 11446.9 35414.7  13870.4    13840
read      379.6   419.8    68.9   132.0   153.6   310.8   386.7   436.6   479.1   534.6   609.8   750.2  1727.9  4497.6 12863.1  93495.7    93419
read      366.2   398.2    68.9   132.3   153.8   306.3   380.4   429.6   469.6   522.9   590.8   708.4  1533.9  4340.2 11707.3  98273.5    98284
read      363.1   385.1    68.9   128.1   146.8   305.4   385.1   435.9   476.1   525.9   590.5   707.6  1522.6  3580.6 13246.0  71373.2    71313
read      414.9   482.8    68.9   126.6   145.2   304.8   401.7   475.1   538.4   634.8   833.3  1131.8  1606.6  5142.7 14790.0  42218.1    42089
read      397.7   444.1    68.9   125.2   143.5   299.8   386.6   449.0   500.8   571.1   713.6  1115.8  1683.1  3842.4 15465.1  46348.0    46458
read      445.7   593.3    63.8   128.1   147.1   316.1   456.2   584.7   687.6   795.0   906.4  1049.2  1333.3  6665.1 30280.5  30763.6    30755
read      414.1   411.8    68.9   126.5   145.1   303.6   398.0   471.7   538.9   648.6   877.3  1173.5  1588.0  3298.7 11521.2  42988.7    42889
read      371.2   397.2    63.8   132.9   154.3   311.6   387.7   437.4   478.1   530.5   600.1   723.8  1525.8  4491.3 12358.2  93570.8    93552
read      342.7   278.1    63.8   125.2   143.0   294.7   372.4   420.8   457.5   501.7   558.8   657.6  1381.7  2663.1  6832.3  65736.6    65694
read      403.5   434.4    68.9   127.1   144.9   306.3   427.9   531.3   615.5   698.7   795.4   929.3  1179.7  3552.1 15245.6  29550.5    29574
read      371.9   426.5    68.9   124.9   142.9   297.4   375.6   427.3   467.3   520.7   599.9   880.0  1606.8  3730.9 13183.9  51405.6    51355
read      341.5   371.5    68.9   123.4   141.0   290.3   365.3   411.6   447.4   490.7   545.8   639.6  1388.1  4032.7 11676.6  67393.6    67361
read      389.9   369.1    68.9   132.5   152.3   341.1   446.7   515.8   560.9   607.9   662.1   737.0   915.6  3891.5 15893.3  16251.1    16287
read      365.9   481.1    63.8   125.7   144.6   295.1   370.9   420.8   460.5   509.0   575.9   705.0  1740.0  4805.8 15870.6  81663.1    81508
read      358.4   461.1    68.9   127.7   147.2   296.4   370.7   419.6   458.0   505.6   569.2   676.8  1542.2  5861.7 14746.0  87573.1    87619
read      353.1   488.7    68.9   129.6   149.9   295.7   365.9   411.8   449.9   497.9   561.2   659.4  1372.1  5850.9 25237.5  99127.5    99068
read      395.2   496.2    63.8   124.9   143.2   295.8   378.2   435.2   482.8   546.2   664.8  1098.3  1769.5  5699.1 12910.3  51201.3    51267
read      429.3  1095.8    74.4   132.6   153.5   325.5   400.5   443.4   471.2   504.0   546.1   624.7  3586.5 10830.0 37809.2  11859.3    11822
read      364.0   447.4    68.9   130.0   150.4   300.4   371.6   419.9   459.3   509.4   579.1   691.8  1672.0  5099.8 14739.9  97362.8    97494
read      358.8   479.7    68.9   130.6   151.0   299.0   370.7   417.9   456.2   504.3   568.7   672.0  1451.6  6624.0 17194.9  97502.1    97350
read      383.2   494.1    68.9   123.9   142.0   296.2   376.9   430.2   471.7   526.4   606.5   904.1  1797.7  6066.2 14804.0  55403.4    55460
read      349.8   386.6    68.9   127.2   146.1   293.2   367.2   416.2   455.2   502.4   563.9   663.6  1455.2  4599.0 10781.6  85955.2    85984
read      348.3   438.8    68.9   126.2   144.5   291.0   365.6   413.8   451.8   497.9   557.6   657.3  1392.3  5092.6 13619.2  82215.8    82043
read      402.5   512.7    68.9   125.8   144.5   300.8   385.3   442.9   490.3   551.2   666.4  1115.3  1906.3  5431.7 15079.2  52917.7    52873
read      443.7   944.0    74.4   132.6   153.4   341.9   437.7   491.6   527.9   567.9   617.3   703.9  3050.9  9222.8 36194.6  13916.5    13911
read      422.6   554.7    68.9   125.5   144.3   299.3   387.6   452.1   507.8   590.5   797.6  1250.1  1915.1  6203.8 16101.1  49982.5    49984
read      451.2  1222.0    80.4   137.4   162.5   322.1   386.4   423.2   448.6   477.3   515.9   599.7  4222.5 23426.2 37404.4   9271.1     9274
read      458.6   671.8    68.9   127.6   146.9   321.2   466.8   598.8   692.8   783.1   882.8  1011.9  1603.7  6725.2 31661.0  27166.4    27187
read      436.3   674.1    74.4   129.5   149.0   338.0   463.8   546.6   598.1   651.4   714.6   815.9  1886.3  7239.9 30147.5  18797.5    18735
read      368.7   512.3    68.9   128.1   147.3   298.2   373.0   422.6   462.1   512.0   579.9   702.7  1698.1  6246.1 21347.3  86480.7    86505
read      356.5   503.5    63.8   129.4   149.2   295.8   367.0   414.4   453.2   501.2   564.7   662.5  1384.6  6290.8 26009.2  93156.3    93039
read      347.7   361.4    68.9   126.3   144.3   293.4   368.9   416.7   453.8   499.3   558.5   664.6  1440.5  3939.8 10414.4  75900.9    75999
read      473.0   730.0    68.9   128.4   147.3   310.5   439.4   576.6   711.6   847.4   973.3  1132.1  1764.1  7381.2 31424.7  32255.5    32324
read      349.8   449.7    68.9   125.6   144.0   291.3   364.2   411.2   449.1   495.6   557.5   661.2  1523.0  4768.8 15342.1  84240.9    84255
read      349.3   402.7    68.9   125.7   144.1   291.6   365.6   413.0   451.3   498.1   558.9   661.8  1483.2  4573.9 11635.0  81683.6    81759
read      467.9   646.4    68.9   128.6   147.4   310.0   427.9   544.3   686.6   857.9  1017.8  1209.4  1695.5  7246.1 29259.3  37301.7    37291
read      403.3   481.7    68.9   126.3   144.7   297.2   380.5   438.3   487.8   555.0   695.3  1177.2  1823.7  5813.5 13240.4  53858.4    53818
read      462.3   597.1    68.9   129.0   148.0   318.4   460.7   601.7   715.5   825.9   936.1  1084.7  1525.9  6675.3 29420.4  30425.4    30297
read      513.5  1090.0    68.9   127.5   146.6   312.1   450.8   598.8   730.4   851.5   969.0  1127.7  2192.8 12453.4 36662.0  31591.3    31569
read      451.0   760.8    68.9   124.5   142.9   298.5   398.8   483.9   573.3   746.4   959.3  1176.6  1695.3  9357.2 31209.2  39012.0    38927
read      589.1  2041.7    74.4   129.3   151.5   315.9   385.6   426.1   453.7   485.0   527.0   620.8  8859.8 31963.4 40315.9  10590.8    10652
read      358.7   459.2    68.9   131.7   152.3   301.9   373.0   420.4   458.8   507.1   572.6   673.5  1344.4  5772.7 15789.6  97958.1    98119
