Total number of intervals = 90
Timestamp start: 1715943774206
Timestamp end: 1715944674861

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      320.4   526.5    74.4   139.8   163.6   300.0   342.8   366.4   383.0   401.4   427.9   469.0   593.7  6061.9 30869.3   7434.5     7434
read      369.4   372.7    63.8   125.2   143.5   283.1   363.7   416.7   459.2   514.0   600.8   983.4  1777.6  2658.1 10532.1  67195.6    67201
read      336.8   255.0    63.8   128.9   148.9   302.0   379.8   426.6   462.0   504.7   559.6   643.2   851.6  2051.6  8147.2  85925.9    85927
read      337.1   243.8    63.8   125.2   143.5   301.5   382.1   429.0   463.2   503.5   554.7   634.0   924.1  2561.3  7320.1  63936.1    63953
read      406.1   710.2    68.9   124.9   143.3   302.8   396.5   458.5   504.7   566.3   677.8   924.9  1612.9  9502.0 32012.9  31608.2    31595
read      383.7   403.7    63.8   130.7   152.2   312.3   394.9   447.6   488.3   539.0   611.9   777.2  1753.9  3955.1 12589.8  87926.1    87879
read      689.4  2521.6    74.4   137.7   165.5   310.3   361.6   392.1   415.4   445.2   493.3  1010.1 10741.0 36033.5 42461.4   7272.0     7287
read      350.3   341.6    63.8   124.4   142.9   300.6   381.2   429.2   464.8   507.3   564.2   660.7  1409.9  3225.5 11254.6  62314.8    62295
read      686.2  2536.5    74.4   139.8   167.9   300.5   346.7   374.1   396.1   425.3   471.7  1025.7 10415.9 36134.3 40203.3   6530.1     6561
read      530.5  1460.4    68.9   127.1   146.2   319.9   434.2   515.6   584.8   661.3   751.0   908.5  6257.5 28350.6 37718.8  22475.8    22532
read      346.4   340.1    68.9   126.2   144.5   303.1   383.0   430.2   465.0   506.0   559.4   644.9  1172.5  3149.8 11035.9  60502.4    60653
read      353.2   344.5    68.9   126.4   145.1   307.3   388.7   436.4   471.8   515.4   571.9   666.9  1278.8  3055.5 10978.7  59110.1    59076
read      356.4   288.8    68.9   127.5   146.0   309.8   392.5   441.6   478.7   524.1   583.0   684.7  1309.5  2865.7  7916.7  60117.6    60154
read      531.8  1422.4    68.9   129.5   149.7   333.3   453.4   538.7   604.7   676.9   767.4   928.3  5420.8 27908.4 37726.8  23012.3    22964
read      652.6  2327.9    74.4   134.3   160.4   310.9   368.3   401.1   426.0   457.1   503.1   735.9  9985.4 35184.6 38454.5   8146.2     8172
read      457.4  1111.2    74.4   128.5   147.3   307.8   399.3   461.3   509.9   580.7   706.8   928.1  3032.9 13914.6 36326.4  27593.3    27652
read      398.0   507.1    68.9   126.9   145.4   309.2   398.5   459.9   507.7   575.2   701.7   999.0  1490.9  6079.3 20371.5  37491.0    37594
read      480.3  1215.1    68.9   127.2   145.9   314.5   423.3   496.2   559.7   645.5   750.6   910.0  3624.7 18033.7 37417.2  24311.5    24367
read      375.3   384.9    68.9   125.7   144.0   305.8   391.4   448.8   492.1   545.5   632.9   892.9  1329.1  4515.1 10995.2  33761.3    33771
read      385.8   407.8    68.9   134.1   156.0   321.8   406.2   458.5   498.4   547.5   616.7   745.5  1662.4  4376.0 11004.5  85108.5    84944
read      380.9   426.7    68.9   133.0   154.3   318.3   400.7   452.3   491.6   540.4   609.0   737.6  1595.5  4930.4 11314.1  85736.9    85666
read      349.3   299.9    68.9   127.2   145.6   308.0   389.0   436.5   471.0   512.7   567.8   653.4  1165.7  2959.6 10211.2  51990.5    51918
read      374.5   460.7    68.9   128.3   146.9   305.8   390.7   446.0   487.3   537.1   609.9   825.6  1310.6  5273.5 14499.7  34519.7    34406
read      470.3  1116.7    74.4   128.5   147.4   312.4   417.0   490.1   553.9   660.3   804.4   989.0  2123.4 14044.5 36918.7  28760.6    28664
read      369.9   469.6    63.8   126.6   144.9   304.3   383.4   434.2   473.0   521.5   586.8   774.5  1389.0  5292.9 15391.1  38188.3    38289
read      529.6  1473.6    74.4   128.9   148.3   328.3   439.6   513.7   573.7   640.7   721.1   862.3  6288.1 28358.7 37468.5  20657.8    20658
read      656.2  2207.3    74.4   128.9   148.8   338.2   435.4   491.0   528.1   569.9   625.5   792.3  9899.2 32300.0 43990.9  13786.9    13840
read      380.2   459.5    68.9   137.2   159.8   323.2   406.1   456.9   494.9   541.1   603.1   713.3  1330.9  6576.2 13540.9  93320.0    93419
read      358.7   242.4    68.9   138.0   161.2   322.5   403.2   452.3   488.9   533.4   591.5   688.6   910.8  1576.7  9115.5  98137.2    98284
read      371.8   385.1    68.9   133.3   153.5   321.8   406.9   458.5   496.6   542.2   602.7   706.6  1212.4  3727.7 14591.1  71437.8    71313
read      380.4   419.6    68.9   127.8   146.5   316.7   402.2   455.0   494.3   542.1   607.9   757.0  1504.2  5140.6 13522.9  42062.1    42089
read      375.4   466.9    68.9   127.1   145.5   311.1   393.9   444.7   482.6   529.2   591.0   727.1  1531.2  5491.9 19163.6  46387.5    46458
read      411.1   804.4    68.9   127.4   145.7   308.0   397.8   457.2   501.9   561.1   664.4   904.5  1559.7 10632.8 35166.4  30799.7    30755
read      363.5   331.1    74.4   127.9   145.8   311.0   390.9   439.5   475.6   520.9   581.3   698.9  1435.8  3583.0  9575.2  42924.6    42889
read      373.5   402.3    68.9   135.2   157.2   319.3   399.4   448.9   486.6   533.6   596.4   707.7  1405.9  4676.3 11701.2  93479.7    93552
read      362.5   370.5    68.9   130.6   149.7   313.6   397.4   447.6   484.3   528.4   584.3   679.9  1284.3  3617.0 12290.6  65613.8    65694
