Total number of intervals = 137Average QPS expected = 51478
Timestamp start: 1716049720770
Timestamp end: 1716050621320

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target    
read      415.7   286.2   160.7   234.1   258.1   414.0   451.0   469.6   485.5   502.4   527.5   567.7   670.7  2921.1 14008.3   7414.8     7434
read      365.5   172.0   148.8   207.0   221.6   330.5   400.0   443.0   476.2   517.1   564.8   627.1   739.4  1075.8  5719.5  67233.3    67201
read      359.2   170.6   148.8   208.9   223.7   330.0   392.1   428.2   455.7   489.2   532.7   595.6   732.3  1447.6  6346.3  85815.6    85927
read      384.4   250.9   148.8   211.3   225.8   339.1   414.8   462.2   498.7   541.5   591.9   663.9   869.6  2374.5  8266.4  64000.9    63953
read      495.0   381.9   148.8   218.2   234.6   438.9   557.8   622.8   672.3   732.2   808.1   932.7  1255.1  3808.5 12324.9  31728.6    31595
read      372.4   185.0   148.8   211.5   226.6   337.1   400.4   438.3   467.4   503.4   551.0   628.9   850.9  2135.4  5210.3  87907.7    87879
read      548.3  1328.8   160.7   230.0   253.8   425.3   475.6   505.0   528.2   554.4   592.9   671.8  4620.7 23447.6 38464.6   7312.0     7287
read      412.9   361.6   148.8   213.8   228.6   347.1   427.3   479.9   521.3   571.1   631.8   739.5  1380.0  3621.3 13992.3  62286.8    62295
read      802.8  2547.7   160.7   231.1   259.2   440.2   497.3   529.0   550.8   581.2   624.5   969.7 10020.6 35926.7 58659.8   6583.9     6561
read      672.7  1679.2   160.7   215.8   232.7   454.6   569.9   638.6   693.5   757.5   841.9  1012.0  7430.8 30482.8 35916.8  22393.3    22532
read      404.0   290.8   160.7   209.1   224.0   343.0   423.7   478.0   521.7   573.3   634.3   731.3  1288.1  2758.5  7982.9  60662.0    60653
read      415.0   337.1   148.8   211.2   226.2   347.5   431.4   487.2   530.4   581.7   642.1   745.9  1434.4  3182.7 10143.7  59102.3    59076
read      466.8   356.9   160.7   218.3   234.7   382.3   479.8   542.1   590.0   651.1   748.7   996.0  1661.9  3574.1 10876.2  60124.1    60154
read      539.6   876.7   160.7   220.1   237.0   447.9   548.1   601.2   640.9   696.9   789.6  1010.1  2027.0 13759.4 32027.9  22909.5    22964
read      738.4  2110.7   173.5   227.7   250.9   446.8   515.5   551.3   578.6   610.5   656.5   906.7  8221.1 34551.8 41305.3   8164.1     8172
read      504.9   943.7   160.7   212.3   227.5   400.6   515.1   567.6   603.8   647.2   722.1   887.4  1744.8 12099.1 37363.5  27668.2    27652
read      425.4   314.4   148.8   212.4   227.2   361.5   478.3   538.0   576.1   616.5   664.7   743.0  1129.2  3698.5  9564.0  37456.7    37594
read      496.2   833.1   160.7   213.9   229.1   416.9   521.8   569.3   602.3   641.1   706.7   841.9  1627.2  9000.7 32171.4  24433.8    24367
read      453.3   503.5   160.7   211.0   225.8   365.2   491.0   550.1   588.6   631.1   687.4   818.9  1538.5  6188.2 23441.1  33731.4    33771
read      403.3   361.5   148.8   211.9   227.5   348.1   418.3   461.1   494.8   536.7   592.9   691.5  1414.8  3724.5 10942.7  84922.6    84944
read      390.1   287.7   160.7   212.3   227.4   341.5   407.5   448.4   479.3   519.0   573.8   665.2  1341.5  2941.4  6941.8  85562.0    85666
read      456.0   479.0   148.8   220.5   236.5   381.0   479.2   537.2   580.0   630.3   695.2   825.0  1589.2  4919.3 19196.6  51937.6    51918
read      446.8   413.1   160.7   216.9   231.4   375.9   496.7   555.8   594.3   634.7   684.7   775.9  1280.2  5700.3 14049.3  34440.3    34406
read      455.2   427.1   160.7   214.6   229.2   391.5   514.5   568.2   603.7   642.7   697.0   809.2  1277.2  5004.0 15684.0  28622.9    28664
read      428.2   438.9   160.7   212.8   227.4   354.3   467.4   532.7   574.7   618.4   668.5   746.2  1190.5  5154.0 15744.9  38345.0    38289
read      627.2  1436.1   160.7   219.3   236.3   459.8   578.7   646.3   694.4   747.8   816.0   942.9  5126.5 28238.3 37714.2  20618.2    20658
read      638.6  1614.1   160.7   220.8   238.0   452.3   536.7   585.4   621.2   663.2   719.1   833.0  6568.7 30311.8 38710.5  13929.8    13840
read      435.8   420.4   160.7   222.0   240.3   372.5   443.1   488.5   524.1   569.0   632.2   763.7  1652.4  3943.7 15249.8  93131.2    93419
