Total number of intervals = 450 
Timestamp start: 1715967267448
Timestamp end: 1715968168362

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      270.2   238.8    80.4   132.4   150.9   260.1   291.3   308.9   320.7   337.9   360.3   397.7   538.8  2865.5  9884.0   7287.0     7434
read      318.7   230.6    63.8   125.3   144.0   296.0   365.0   405.1   435.8   472.7   519.8   586.0   734.0  1264.4  9071.3  67007.5    67201
read      318.2   197.6    68.9   123.0   142.7   292.8   358.4   398.7   431.6   472.1   527.3   607.3   764.2  1111.1  8102.8  85905.0    85927
read      315.2   165.6    68.9   124.6   143.3   294.9   363.5   403.1   433.9   470.2   516.2   582.1   732.3   964.6  4012.8  63900.0    63953
read      312.1   225.5    68.9   122.3   139.8   289.7   351.4   390.1   418.9   453.5   497.0   565.5   799.7  1387.3 10035.6  31431.5    31595
read      326.9   209.1    68.9   125.8   145.8   299.4   367.6   410.7   445.8   488.1   542.6   627.7   797.7  1228.7  6443.0  87846.5    87879
read      332.3   864.4    80.4   131.3   153.4   269.2   308.0   329.8   345.9   367.1   395.4   454.0  1379.5 10140.8 32167.4   7221.5     7287
read      424.0   478.2    63.8   124.4   142.9   278.7   358.5   419.1   475.5   594.7  1078.1  1482.0  1912.6  2425.3 15510.4  62066.5    62295
read      393.7  1242.8    74.4   135.2   160.6   277.9   321.3   346.2   365.7   390.8   427.4   508.5  3080.1 28183.9 32116.1   6694.0     6561
read      302.5   263.9    74.4   125.9   143.4   278.4   332.4   364.4   389.4   419.9   460.1   523.5   843.2  2734.8  7446.4  22414.0    22532
read      328.9   211.2    68.9   127.8   146.8   304.2   373.5   414.2   444.8   481.9   530.3   601.0   849.6  1690.7  5829.2  60381.0    60653
read      329.5   204.2    68.9   128.2   147.0   307.0   377.3   418.0   448.5   485.6   533.5   604.5   809.7  1488.2  5622.6  59061.5    59076
read      337.3   200.4    74.4   130.0   148.7   312.8   385.7   428.0   460.0   498.7   547.2   623.2   837.9  1740.3  5680.5  60224.0    60154
read      508.9  1319.1    74.4   125.3   143.9   322.5   446.7   553.1   642.4   727.2   838.9  1008.6  2240.6 26903.2 35353.8  22975.0    22964
read      357.0   956.7    80.4   138.9   160.1   287.4   322.5   343.9   361.6   383.1   414.2   471.2  1707.7  9376.1 32323.4   8334.0     8172
read      561.3  1291.1    68.9   122.1   140.9   315.0   454.0   612.6   724.9   828.1   935.3  1107.5  6702.7 13562.4 36280.4  27677.5    27652
read      353.0   469.7    68.9   123.0   141.0   300.9   368.8   410.5   444.2   484.8   535.9   638.8  1295.5  6043.4 21086.7  37792.0    37594
read      427.5   874.1    74.4   122.4   140.4   294.9   379.0   439.0   490.7   583.2   729.7   919.9  2891.3  9862.2 32264.9  24305.0    24367
read      381.7   770.5    68.9   122.7   141.0   303.3   372.2   416.0   452.6   496.2   551.5   707.1  1533.9  8798.7 31920.2  33803.0    33771
read      353.1   302.3    68.9   125.6   145.6   303.7   377.5   424.6   461.7   507.2   571.6   679.0  1419.5  3426.4  9147.1  84852.5    84944
